file;numAnyError;numSyntaxError;numReferenceError;criticalErrors;totalTypeError;comment
arch/x86/kernel/probe_roms_32;0;0;0;0;0;
arch/x86/kernel/process;0;0;0;0;0;
arch/x86/kernel/ptrace;0;0;0;0;0;
arch/x86/kernel/pvclock;0;0;0;0;0;
arch/x86/kernel/quirks;0;0;0;0;0;
arch/x86/kernel/reboot;0;0;0;0;0;
arch/x86/kernel/reboot_fixups_32;0;0;0;0;0;
arch/x86/kernel/rtc;0;0;0;0;0;
arch/x86/kernel/scx200_32;0;0;0;0;0;
arch/x86/kernel/setup;0;0;0;0;0;
arch/x86/kernel/setup_percpu;0;0;0;0;0;
arch/x86/kernel/sfi;0;0;0;0;0;
arch/x86/kernel/signal;1;1;0;0;0;
arch/x86/kernel/smp;0;0;0;0;0;
arch/x86/kernel/smpboot;0;0;0;0;0;
arch/x86/kernel/stacktrace;0;0;0;0;0;
arch/x86/kernel/step;0;0;0;0;0;
arch/x86/kernel/sys_i386_32;0;0;0;0;0;
arch/x86/kernel/tboot;0;0;0;0;0;
arch/x86/kernel/test_nx;6;0;6;0;6;won't fix, feature model problem?
arch/x86/kernel/test_rodata;0;0;0;0;0;
arch/x86/kernel/time;0;0;0;0;0;
arch/x86/kernel/tls;0;0;0;0;0;
arch/x86/kernel/topology;0;0;0;0;0;
arch/x86/kernel/trampoline;0;0;0;0;0;
arch/x86/kernel/traps;0;0;0;0;0;
arch/x86/kernel/tsc;0;0;0;0;0;
arch/x86/kernel/tsc_sync;0;0;0;0;0;
arch/x86/kernel/vm86_32;0;0;0;0;0;
arch/x86/kernel/vmi_32;0;0;0;0;0;
arch/x86/kernel/vmiclock_32;0;0;0;0;0;
arch/x86/kernel/x86_init;0;0;0;0;0;
arch/x86/kernel/xsave;0;0;0;0;0;
arch/x86/kvm/emulate;1;1;0;0;0;
arch/x86/kvm/i8254;0;0;0;0;0;
arch/x86/kvm/i8259;0;0;0;0;0;
arch/x86/kvm/irq;0;0;0;0;0;
arch/x86/kvm/lapic;0;0;0;0;0;
arch/x86/kvm/mmu;0;0;0;0;0;preprocessor problem, worked around by rewriting the code :/
arch/x86/kvm/svm;0;0;0;0;0;
arch/x86/kvm/timer;0;0;0;0;0;
arch/x86/kvm/vmx;0;0;0;0;0;
arch/x86/kvm/x86;0;0;0;0;0;
arch/x86/lguest/boot;0;0;0;0;0;
arch/x86/lib/atomic64_32;0;0;0;0;0;
arch/x86/lib/cache-smp;0;0;0;0;0;
arch/x86/lib/delay;0;0;0;0;0;
arch/x86/lib/insn;0;0;0;0;0;
arch/x86/lib/mmx_32;0;0;0;0;0;
arch/x86/lib/msr-reg-export;0;0;0;0;0;
arch/x86/lib/msr-smp;0;0;0;0;0;
arch/x86/lib/msr;0;0;0;0;0;
arch/x86/lib/string_32;0;0;0;0;0;
arch/x86/lib/strstr_32;0;0;0;0;0;
arch/x86/math-emu/errors;0;0;0;0;0;
arch/x86/math-emu/fpu_arith;0;0;0;0;0;
arch/x86/math-emu/fpu_aux;0;0;0;0;0;
arch/x86/math-emu/fpu_entry;0;0;0;0;0;
arch/x86/math-emu/fpu_etc;0;0;0;0;0;
arch/x86/math-emu/fpu_tags;0;0;0;0;0;
arch/x86/math-emu/fpu_trig;0;0;0;0;0;
arch/x86/math-emu/get_address;0;0;0;0;0;
arch/x86/math-emu/load_store;0;0;0;0;0;
arch/x86/math-emu/poly_2xm1;0;0;0;0;0;
arch/x86/math-emu/poly_atan;0;0;0;0;0;
arch/x86/math-emu/poly_l2;0;0;0;0;0;
arch/x86/math-emu/poly_sin;0;0;0;0;0;
arch/x86/math-emu/poly_tan;0;0;0;0;0;
arch/x86/math-emu/reg_add_sub;0;0;0;0;0;
arch/x86/math-emu/reg_compare;0;0;0;0;0;
arch/x86/math-emu/reg_constant;0;0;0;0;0;
arch/x86/math-emu/reg_convert;0;0;0;0;0;
arch/x86/math-emu/reg_divide;0;0;0;0;0;
arch/x86/math-emu/reg_ld_str;0;0;0;0;0;
arch/x86/math-emu/reg_mul;0;0;0;0;0;
arch/x86/mm/dump_pagetables;0;0;0;0;0;
arch/x86/mm/extable;0;0;0;0;0;
arch/x86/mm/fault;0;0;0;0;0;
arch/x86/mm/gup;0;0;0;0;0;
arch/x86/mm/highmem_32;0;0;0;0;0;
arch/x86/mm/hugetlbpage;0;0;0;0;0;
arch/x86/mm/init;0;0;0;0;0;
arch/x86/mm/iomap_32;0;0;0;0;0;
arch/x86/mm/ioremap;0;0;0;0;0;
arch/x86/mm/kmemcheck/error;0;0;0;0;0;
arch/x86/mm/kmemcheck/kmemcheck;0;0;0;0;0;should be fixed by 1a85b2d918
arch/x86/mm/kmemcheck/opcode;0;0;0;0;0;
arch/x86/mm/kmemcheck/pte;0;0;0;0;0;
arch/x86/mm/kmemcheck/selftest;0;0;0;0;0;
arch/x86/mm/kmemcheck/shadow;0;0;0;0;0;
arch/x86/mm/kmmio;0;0;0;0;0;
arch/x86/mm/memtest;0;0;0;0;0;
arch/x86/mm/mmap;0;0;0;0;0;
arch/x86/mm/mmio-mod;0;0;0;0;0;
arch/x86/mm/numa;0;0;0;0;0;
arch/x86/mm/pageattr;0;0;0;0;0;
arch/x86/mm/pat;0;0;0;0;0;
arch/x86/mm/pf_in;0;0;0;0;0;
arch/x86/mm/pgtable;0;0;0;0;0;
arch/x86/mm/pgtable_32;0;0;0;0;0;
arch/x86/mm/physaddr;0;0;0;0;0;
arch/x86/mm/setup_nx;0;0;0;0;0;
arch/x86/mm/testmmiotrace;0;0;0;0;0;
arch/x86/mm/tlb;0;0;0;0;0;
arch/x86/oprofile/backtrace;0;0;0;0;0;
arch/x86/oprofile/init;0;0;0;0;0;
arch/x86/oprofile/nmi_int;0;0;0;0;0;
arch/x86/oprofile/nmi_timer_int;0;0;0;0;0;
arch/x86/oprofile/op_model_amd;0;0;0;0;0;
arch/x86/oprofile/op_model_p4;0;0;0;0;0;
arch/x86/oprofile/op_model_ppro;0;0;0;0;0;
arch/x86/pci/acpi;0;0;0;0;0;
arch/x86/pci/amd_bus;0;0;0;0;0;
arch/x86/pci/common;0;0;0;0;0;
arch/x86/pci/direct;0;0;0;0;0;
arch/x86/pci/early;0;0;0;0;0;
arch/x86/pci/fixup;0;0;0;0;0;
arch/x86/pci/i386;0;0;0;0;0;
arch/x86/pci/init;0;0;0;0;0;
arch/x86/pci/irq;0;0;0;0;0;
arch/x86/pci/legacy;0;0;0;0;0;
arch/x86/pci/olpc;0;0;0;0;0;
arch/x86/pci/pcbios;0;0;0;0;0;
arch/x86/power/cpu;0;0;0;0;0;
arch/x86/video/fbdev;0;0;0;0;0;
arch/x86/xen/debugfs;0;0;0;0;0;
arch/x86/xen/enlighten;1;1;0;0;0;
arch/x86/xen/grant-table;1;1;0;0;0;
arch/x86/xen/irq;0;0;0;0;0;
arch/x86/xen/mmu;1;1;0;0;0;
arch/x86/xen/multicalls;0;0;0;0;0;
arch/x86/xen/setup;1;1;0;0;0;lexer bug
arch/x86/xen/smp;1;1;0;0;0;
arch/x86/xen/spinlock;0;0;0;0;0;
arch/x86/xen/suspend;1;1;0;0;0;
arch/x86/xen/time;0;0;0;0;0;
block/blk-barrier;0;0;0;0;0;
block/blk-cgroup;0;0;0;0;0;
block/blk-core;0;0;0;0;0;preprocessor bug, changed code instead
block/blk-exec;0;0;0;0;0;
block/blk-integrity;0;0;0;0;0;
block/blk-ioc;0;0;0;0;0;
block/blk-iopoll;0;0;0;0;0;
block/blk-map;0;0;0;0;0;
block/blk-merge;0;0;0;0;0;
block/blk-settings;0;0;0;0;0;
block/blk-softirq;0;0;0;0;0;
block/blk-sysfs;0;0;0;0;0;
block/blk-tag;0;0;0;0;0;
block/blk-timeout;0;0;0;0;0;
block/bsg;0;0;0;0;0;
block/cfq-iosched;0;0;0;0;0;
block/deadline-iosched;0;0;0;0;0;
block/elevator;0;0;0;0;0;
block/genhd;0;0;0;0;0;
block/ioctl;0;0;0;0;0;
block/noop-iosched;0;0;0;0;0;
block/scsi_ioctl;0;0;0;0;0;
crypto/ablkcipher;0;0;0;0;0;
crypto/aead;0;0;0;0;0;
crypto/aes_generic;0;0;0;0;0;
crypto/ahash;0;0;0;0;0;
crypto/algapi;0;0;0;0;0;
crypto/algboss;0;0;0;0;0;
crypto/ansi_cprng;0;0;0;0;0;
crypto/anubis;0;0;0;0;0;
crypto/api;0;0;0;0;0;
crypto/arc4;0;0;0;0;0;
crypto/async_tx/async_memcpy;0;0;0;0;0;
crypto/async_tx/async_pq;0;0;0;0;0;
crypto/async_tx/async_raid6_recov;0;0;0;0;0;
crypto/async_tx/async_tx;0;0;0;0;0;
crypto/async_tx/async_xor;0;0;0;0;0;
crypto/async_tx/raid6test;0;0;0;0;0;
crypto/authenc;0;0;0;0;0;
crypto/blkcipher;0;0;0;0;0;
crypto/blowfish;0;0;0;0;0;
crypto/camellia;0;0;0;0;0;
crypto/cast5;0;0;0;0;0;
crypto/cast6;0;0;0;0;0;
crypto/cbc;0;0;0;0;0;
crypto/ccm;0;0;0;0;0;
crypto/chainiv;0;0;0;0;0;
crypto/cipher;0;0;0;0;0;
crypto/compress;0;0;0;0;0;
crypto/crc32c;0;0;0;0;0;
crypto/cryptd;0;0;0;0;0;
crypto/crypto_null;0;0;0;0;0;
crypto/crypto_wq;0;0;0;0;0;
crypto/ctr;0;0;0;0;0;
crypto/cts;0;0;0;0;0;
crypto/deflate;0;0;0;0;0;
crypto/des_generic;0;0;0;0;0;
crypto/ecb;0;0;0;0;0;
crypto/eseqiv;0;0;0;0;0;
crypto/fcrypt;0;0;0;0;0;
crypto/fips;0;0;0;0;0;
crypto/gcm;0;0;0;0;0;
crypto/gf128mul;0;0;0;0;0;
crypto/ghash-generic;0;0;0;0;0;
crypto/hmac;0;0;0;0;0;
