arch/x86/kernel/cpu/mtrr/amd;5485;16261;8148;84;0;0;1021;7977;1711;108;0;0;0;0
arch/x86/kernel/cpu/mtrr/centaur;5552;16544;7915;119;0;0;1228;9259;2112;243;0;0;0;0
arch/x86/kernel/cpu/mtrr/cleanup;5474;21178;10026;669;0;0;953;9076;2195;113;0;0;0;0
arch/x86/kernel/cpu/mtrr/cyrix;6102;16567;8250;86;0;0;961;8051;1856;127;0;0;0;0
arch/x86/kernel/cpu/mtrr/generic;5203;19763;9231;104;0;0;1642;9757;2109;157;0;0;0;0
arch/x86/kernel/cpu/mtrr/if;5354;20303;8943;85;0;0;894;8896;2001;78;0;0;0;0
arch/x86/kernel/cpu/mtrr/main;5625;21212;10278;240;0;0;972;9135;2096;97;0;0;0;0
arch/x86/kernel/cpu/mtrr/state;6496;27272;14476;126;0;0;887;7937;1986;171;0;0;0;0
arch/x86/kernel/cpu/perfctr-watchdog;5038;19367;7592;105;0;0;1159;9005;2091;114;0;0;0;0
arch/x86/kernel/cpu/powerflags;1068;1713;384;16;0;0;713;1686;496;24;0;0;0;0
arch/x86/kernel/cpu/proc;4092;15422;7807;88;0;0;959;6870;1613;97;0;0;0;0
arch/x86/kernel/cpu/sched;4033;13675;6180;101;0;0;936;7128;1665;81;0;0;0;0
arch/x86/kernel/cpu/transmeta;4668;20866;10080;139;0;0;1159;8768;1833;163;0;0;0;0
arch/x86/kernel/cpu/umc;2879;6383;1565;143;0;0;893;4349;799;35;0;0;0;0
arch/x86/kernel/cpu/vmware;2365;6804;1839;159;0;0;845;4512;943;32;0;0;0;0
arch/x86/kernel/cpuid;4915;19229;8313;107;0;0;906;8254;1985;78;0;0;0;0
arch/x86/kernel/crash;7069;25640;16198;108;0;0;1281;10201;2643;66;0;0;0;0
arch/x86/kernel/doublefault_32;5259;23523;0;0;0;0;1083;10330;2146;106;0;0;1;8
arch/x86/kernel/dumpstack;5020;21405;11182;114;0;0;971;8711;2012;64;0;0;0;0
arch/x86/kernel/e820;6665;33767;0;0;0;0;1225;10151;2514;146;0;0;1;1
arch/x86/kernel/early-quirks;5950;23168;9642;340;0;0;1329;9367;2257;97;0;0;0;0
arch/x86/kernel/early_printk;4146;18076;12312;106;0;0;903;5734;1191;111;0;0;0;0
arch/x86/kernel/efi;5350;21060;8438;103;0;0;993;9628;2040;110;0;0;0;0
arch/x86/kernel/ftrace;6106;28062;16534;104;0;0;1312;10596;2748;97;0;0;0;0
arch/x86/kernel/hpet;5783;26957;9374;116;0;0;1043;8395;2050;119;0;0;0;0
arch/x86/kernel/hw_breakpoint;5570;23200;11523;151;0;0;999;9109;1965;97;0;0;0;0
arch/x86/kernel/i386_ksyms_32;4719;13271;6051;87;0;0;937;6754;1574;124;0;0;0;0
arch/x86/kernel/i387;5035;20277;8048;84;0;0;1590;8945;2651;83;0;0;0;0
arch/x86/kernel/i8237;4125;16572;7342;84;0;0;869;6242;1462;94;0;0;0;0
